Overall,Last,HSC,SSC
3.35,3.22,4.17,4.84
3.467,3.467,4.92,5.0
3.72,4.0,5.0,4.83
3.75,3.8,4.0,4.5
3.94,3.94,2.19,3.17
1.0,1.0,4.75,4.05
1.06,1.06,4.42,5.0
1.25,2.95,4.5,4.81
1.44,1.42,3.32,4.5
1.5,1.5,3.33,4.95
1.56,1.56,4.17,5.0
1.57,1.57,3.58,4.56
1.57,1.57,4.5,4.75
1.6,1.0,4.5,4.75
1.62,1.62,3.83,5.0
1.69,1.69,4.33,4.64
1.71,1.83,4.51,4.75
1.72,1.69,4.5,4.75
1.75,1.33,3.92,4.72
1.75,1.75,3.92,5.0
1.75,1.25,4.08,5.0
1.8,1.79,3.67,4.86
1.86,1.63,4.0,5.0
1.88,1.88,3.75,4.73
1.89,1.89,3.5,5.0
1.9,1.45,4.2,5.0
1.9,1.33,4.58,4.94
1.92,1.92,3.0,4.06
1.97,2.06,4.17,5.0
2.0,2.33,4.42,5.0
2.0,2.16,4.0,4.78
2.02,1.5,4.5,4.75
2.1,1.64,4.5,4.75
2.1,1.33,3.5,4.78
2.1,2.5,3.82,5.0
2.17,2.23,4.5,5.0
2.17,2.11,4.58,3.96
2.17,2.17,3.23,4.33
2.17,2.08,2.17,4.33
2.2,1.94,3.67,4.28
2.22,2.0,3.8,4.94
2.25,2.25,3.25,4.94
2.25,2.25,4.5,4.75
2.25,2.25,4.0,4.72
2.25,2.25,3.42,4.78
2.28,2.31,4.0,5.0
2.3,2.3,3.33,4.19
2.3,2.25,4.25,4.38
2.31,2.31,3.75,5.0
2.31,2.31,3.58,5.0
2.31,2.31,4.25,5.0
2.33,2.44,4.5,4.75
2.33,2.33,3.83,4.94
2.33,2.33,3.08,4.22
2.33,2.33,3.67,4.91
2.35,2.39,5.0,4.75
2.35,2.35,4.56,4.82
2.35,2.35,5.0,4.72
2.38,2.38,3.92,5.0
2.38,2.38,4.42,4.32
2.38,2.38,3.42,4.14
2.38,2.38,4.0,5.0
2.41,2.41,4.5,4.75
2.44,2.44,4.17,4.82
2.44,2.44,4.0,5.0
2.45,2.35,4.86,5.0
2.45,2.25,4.5,4.75
2.47,2.58,3.63,4.91
2.5,3.0,2.25,4.28
2.5,2.73,2.92,4.75
2.5,2.5,4.33,5.0
2.53,2.83,4.5,4.75
2.55,2.24,5.0,4.78
2.55,2.75,3.16,4.19
2.56,2.56,4.67,5.0
2.56,2.56,3.67,4.82
2.56,2.56,3.75,4.11
2.58,3.0,4.5,3.61
2.64,2.64,2.94,4.39
2.69,2.69,3.59,5.0
2.69,2.69,3.0,4.33
2.69,2.69,3.67,5.0
2.69,2.69,4.08,5.0
2.7,2.88,4.33,5.0
2.7,2.83,5.0,5.0
2.7,2.83,3.92,5.0
2.75,2.41,5.0,5.0
2.75,2.35,5.0,5.0
2.75,2.89,3.92,5.0
2.75,2.88,4.3,4.75
2.75,2.75,4.0,5.0
2.75,2.82,4.0,4.13
2.75,2.88,4.95,5.0
2.75,2.81,4.44,4.38
2.75,2.84,3.75,5.0
2.75,2.81,3.58,4.61
2.75,2.79,4.0,4.89
2.75,2.83,4.67,5.0
2.75,2.76,4.5,4.5
2.75,2.84,4.25,4.94
2.75,2.75,4.0,4.5
2.75,2.88,3.25,4.17
2.75,2.75,2.67,4.11
2.75,2.8,4.42,4.44
2.75,2.88,4.75,5.0
2.75,2.75,3.75,4.78
2.75,2.77,3.5,5.0
2.75,2.75,3.33,4.59
2.75,2.75,4.0,4.89
2.75,2.83,3.67,4.77
2.75,2.75,4.25,5.0
2.75,2.75,4.17,5.0
2.75,2.75,3.67,4.73
2.75,2.75,4.08,5.0
2.79,2.27,4.5,5.0
2.81,2.81,3.5,4.83
2.81,2.81,3.25,4.36
2.84,2.96,3.34,4.69
2.84,2.99,4.08,5.0
2.84,2.94,4.08,5.0
2.84,2.94,3.42,4.33
2.846,1.52,4.5,4.75
2.86,2.86,4.42,4.23
2.88,2.88,3.5,4.73
2.88,2.88,3.58,4.68
2.88,2.88,4.67,5.0
2.88,2.88,4.57,4.95
2.88,2.88,4.17,5.0
2.89,2.89,3.75,4.69
2.89,2.91,4.25,5.0
2.89,2.89,4.17,4.61
2.89,2.93,4.67,5.0
2.89,2.89,3.83,5.0
2.89,2.92,4.08,4.78
2.89,2.92,3.58,4.88
2.9,2.46,4.0,4.7
2.9,2.66,4.58,4.0
2.9,2.57,4.1,3.75
2.9,2.44,3.33,4.61
2.9,2.55,3.67,3.06
2.9,2.64,4.17,4.61
2.9,2.6,3.83,5.0
2.9,2.6,4.67,4.75
2.9,2.6,4.5,4.28
2.9,2.5,4.33,5.0
2.9,2.41,3.17,4.67
2.9,2.5,4.5,4.56
2.9,2.56,3.76,4.0
2.9,2.55,2.59,4.88
2.9,2.69,3.33,3.78
2.9,2.67,4.5,5.0
2.9,2.5,4.17,4.61
2.9,2.67,4.42,5.0
2.9,2.42,3.85,5.0
2.92,2.92,3.92,5.0
2.94,2.42,4.0,5.0
2.94,2.94,3.33,4.89
2.94,2.94,3.92,4.73
2.94,2.94,3.42,4.68
2.98,2.48,4.5,4.75
3.0,3.45,4.5,5.0
3.0,3.0,5.0,5.0
3.0,2.45,5.0,5.0
3.0,3.22,5.0,5.0
3.0,3.17,4.5,4.75
3.0,3.0,3.08,4.68
3.0,3.0,3.92,5.0
3.0,3.0,3.67,4.68
3.0,3.0,3.92,5.0
3.0,3.0,3.53,5.0
3.06,3.06,3.83,4.73
3.06,3.06,2.93,4.71
3.06,3.06,3.5,5.0
3.07,2.94,5.0,5.0
3.08,3.0,4.0,4.92
3.08,3.29,3.92,5.0
3.08,3.25,3.6,4.94
3.08,3.25,3.83,4.75
3.08,3.25,3.51,3.19
3.08,3.25,4.44,5.0
3.08,3.28,3.92,5.0
3.08,3.3,4.5,5.0
3.08,3.26,4.5,5.0
3.08,3.3,3.42,4.0
3.08,3.25,3.86,5.0
3.08,3.25,5.0,5.0
3.09,2.73,4.08,5.0
3.1,2.69,4.0,4.33
3.1,2.83,4.83,5.0
3.11,3.11,5.0,5.0
3.13,3.13,3.42,4.63
3.13,3.13,4.33,4.68
3.13,3.13,4.0,5.0
3.13,3.13,3.08,4.06
3.15,3.34,3.92,5.0
3.15,3.3,4.44,5.0
3.15,3.34,3.92,5.0
3.15,3.33,3.42,4.17
3.15,3.33,4.58,5.0
3.15,3.33,3.83,5.0
3.15,3.3,4.5,5.0
3.16,3.16,4.75,5.0
3.19,3.19,4.19,4.36
3.19,3.19,3.5,4.73
3.19,3.19,3.38,5.0
3.19,3.19,4.0,5.0
3.21,3.21,3.8,4.56
3.22,3.27,4.0,4.88
3.25,3.02,4.2,5.0
3.25,3.09,3.67,5.0
3.25,3.1,3.5,4.88
3.25,3.01,3.5,4.56
3.25,3.08,4.0,4.88
3.25,3.04,3.93,5.0
3.25,3.04,4.08,5.0
3.25,3.22,4.33,4.81
3.25,3.11,4.25,5.0
3.25,3.1,4.1,5.0
3.25,3.08,3.87,4.94
3.25,3.04,4.58,5.0
3.25,3.0,3.83,5.0
3.25,3.05,4.5,4.28
3.25,3.08,4.0,5.0
3.25,3.08,4.0,5.0
3.25,3.06,3.83,5.0
3.25,3.0,3.67,5.0
3.25,3.08,3.92,4.18
3.25,3.25,3.5,4.81
3.25,3.25,3.07,4.85
3.25,3.25,3.92,5.0
3.25,3.25,4.08,5.0
3.25,3.25,3.83,5.0
3.25,3.25,3.58,4.83
3.25,3.25,3.92,5.0
3.25,3.25,4.25,5.0
3.25,3.25,4.42,4.86
3.25,3.25,4.5,4.86
3.25,3.25,3.75,4.59
3.26,3.11,4.5,4.75
3.27,3.27,5.0,4.67
3.27,3.47,4.0,5.0
3.27,3.44,4.3,5.0
3.27,3.43,4.25,5.0
3.27,3.48,4.25,4.61
3.27,3.43,4.25,5.0
3.27,3.47,3.14,4.63
3.28,3.33,4.5,4.75
3.3,3.3,3.67,4.78
3.3,3.3,3.83,5.0
3.31,3.31,4.58,5.0
3.31,3.31,4.75,5.0
3.31,3.31,4.17,5.0
3.31,3.31,3.67,4.56
3.32,3.32,4.5,4.75
3.32,3.32,4.08,4.17
3.33,2.71,4.01,4.33
3.33,3.41,4.0,4.38
3.33,3.35,3.58,4.44
3.33,3.55,4.5,4.75
3.33,2.86,4.5,4.75
3.33,3.4,4.33,5.0
3.33,3.42,3.83,4.89
3.33,3.38,3.5,4.61
3.33,3.4,4.0,4.89
3.33,3.42,4.25,4.94
3.33,3.42,5.0,5.0
3.33,3.42,4.17,4.89
3.35,3.35,4.17,4.95
3.37,3.14,4.5,4.75
3.38,3.38,4.08,5.0
3.38,3.38,3.75,4.95
3.38,3.38,4.42,4.89
3.38,3.38,4.75,4.09
3.38,3.38,4.25,5.0
3.38,3.38,3.58,5.0
3.38,3.38,4.17,4.83
3.38,3.38,3.42,4.68
3.39,3.3,3.67,4.89
3.39,3.83,4.5,4.75
3.43,3.27,4.5,4.75
3.44,3.56,4.83,5.0
3.44,3.6,4.33,5.0
3.44,3.59,4.33,5.0
3.44,3.44,4.55,5.0
3.44,3.44,4.25,4.89
3.44,3.44,3.92,5.0
3.45,3.52,4.75,5.0
3.46,2.92,4.5,4.75
3.48,3.48,5.0,5.0
3.5,3.02,3.5,4.8
3.5,2.07,5.0,5.0
3.5,3.0,4.53,4.75
3.5,3.76,4.42,4.88
3.5,3.7,4.58,5.0
3.5,3.8,3.5,4.81
3.5,4.0,5.0,5.0
3.5,3.78,4.58,5.0
3.5,3.83,4.83,5.0
3.5,3.81,4.33,5.0
3.5,3.81,4.25,5.0
3.5,3.75,4.33,5.0
3.5,3.83,3.75,4.67
3.5,3.75,4.58,5.0
3.5,3.5,3.67,4.61
3.5,3.5,3.75,4.78
3.5,3.5,4.17,4.94
3.5,3.5,4.0,5.0
3.5,3.5,3.75,4.61
3.5,3.5,4.08,5.0
3.5,3.5,4.33,4.94
3.54,3.92,4.57,5.0
3.55,3.42,4.5,4.75
3.55,3.42,4.52,4.75
3.56,3.57,3.58,5.0
3.56,3.56,4.17,5.0
3.56,3.56,4.25,5.0
3.56,3.56,4.33,5.0
3.56,3.56,3.83,4.59
3.56,3.56,4.17,4.59
3.56,3.56,4.17,5.0
3.56,3.56,4.0,5.0
3.56,3.56,4.0,5.0
3.56,3.56,4.42,5.0
3.56,3.56,3.92,4.18
3.6,3.64,5.0,5.0
3.6,3.61,3.83,5.0
3.6,3.62,5.0,5.0
3.6,3.64,3.92,3.94
3.6,3.63,3.67,4.44
3.61,3.66,5.0,5.0
3.62,3.66,4.16,4.67
3.63,3.63,4.83,5.0
3.63,3.63,4.25,5.0
3.64,3.88,4.5,5.0
3.64,3.64,3.5,4.72
3.65,3.71,3.75,5.0
3.65,3.6,5.0,5.0
3.67,3.53,4.42,5.0
3.67,3.5,4.5,5.0
3.67,3.55,4.42,5.0
3.67,3.5,3.17,4.31
3.67,3.52,3.67,4.38
3.67,3.51,3.83,4.94
3.67,3.52,4.33,5.0
3.67,3.5,4.5,5.0
3.67,3.5,4.08,5.0
3.67,3.5,5.0,5.0
3.68,3.68,5.0,5.0
3.69,3.69,4.42,5.0
3.69,3.69,4.17,5.0
3.7,4.0,4.0,4.0
3.7,1.82,4.17,5.0
3.7,3.18,4.25,3.75
3.7,3.2,3.14,4.44
3.7,3.16,3.19,4.81
3.7,3.19,4.0,5.0
3.7,3.17,4.17,5.0
3.7,3.19,3.8,4.78
3.7,3.17,3.75,4.78
3.7,4.0,4.5,5.0
3.7,3.7,4.17,4.95
3.7,3.7,4.67,4.5
3.71,3.71,5.0,5.0
3.71,3.73,5.0,5.0
3.71,3.73,3.33,4.75
3.71,3.74,3.58,4.78
3.74,3.68,4.42,4.81
3.74,3.68,4.5,5.0
3.74,3.85,5.0,5.0
3.74,3.85,5.0,5.0
3.74,3.66,4.0,4.44
3.74,3.7,3.4,4.0
3.74,3.67,3.58,4.5
3.74,3.87,4.67,5.0
3.74,3.66,4.08,5.0
3.74,3.67,3.83,4.83
3.75,3.9,4.0,5.0
3.75,3.61,4.0,5.0
3.75,4.0,4.25,5.0
3.75,4.0,5.0,5.0
3.75,4.0,3.42,5.0
3.75,4.0,4.08,4.39
3.75,4.0,4.0,4.36
3.75,3.75,3.92,4.89
3.75,3.75,4.5,5.0
3.75,3.75,4.0,4.83
3.75,3.75,4.17,4.83
3.75,3.75,4.25,4.72
3.75,3.75,3.5,5.0
3.75,3.75,4.25,5.0
3.75,3.75,3.92,5.0
3.76,3.66,5.0,5.0
3.78,3.89,4.58,5.0
3.78,3.88,5.0,5.0
3.78,3.88,4.25,5.0
3.8,3.75,4.75,5.0
3.8,3.9,5.0,5.0
3.8,3.9,3.83,4.69
3.8,3.93,4.5,4.61
3.8,3.92,4.42,4.77
3.81,3.81,4.08,5.0
3.81,3.81,4.08,4.82
3.81,3.81,4.5,4.95
3.81,3.81,5.0,5.0
3.81,3.81,4.17,4.95
3.81,3.81,4.17,5.0
3.81,3.81,4.33,4.59
3.81,3.81,3.83,5.0
3.84,3.84,4.42,4.68
3.87,3.67,4.83,4.89
3.88,3.88,5.0,4.61
3.88,3.88,4.08,5.0
3.88,3.88,4.5,4.89
3.88,3.88,5.0,5.0
3.88,3.88,4.42,5.0
3.88,3.88,4.25,5.0
3.88,3.88,5.0,5.0
3.89,3.89,5.0,5.0
3.91,3.91,5.0,5.0
3.93,3.93,5.0,5.0
3.94,3.94,4.17,5.0
3.94,3.97,5.0,5.0
3.94,3.94,4.75,5.0
3.94,3.98,5.0,5.0
3.94,3.94,4.3,5.0
3.94,3.94,3.81,4.39
3.94,3.94,4.0,4.39
3.94,3.94,4.42,5.0
3.94,3.94,4.17,4.82
3.94,3.94,3.75,4.78
3.94,3.94,4.42,4.95
3.94,3.94,5.0,5.0
3.94,3.94,4.0,4.68
3.95,4.0,4.5,4.75
3.96,4.0,5.0,5.0
3.98,4.0,4.58,5.0
4.0,4.0,5.0,5.0
4.0,4.0,5.0,5.0
4.0,4.0,5.0,5.0
4.0,4.0,5.0,5.0
4.0,4.0,5.0,5.0
4.0,4.0,4.58,5.0
4.0,4.0,4.92,5.0
4.0,4.0,4.33,5.0
4.0,4.0,5.0,5.0
4.0,4.0,5.0,5.0
4.0,4.0,5.0,5.0
4.0,4.0,4.17,5.0
3.7,3.14,4.17,5.0
3.74,3.66,4.75,4.83
3.75,3.8,4.9,5.0
4.0,4.0,5.0,4.83
2.97,3.83,3.42,4.33
3.15,3.25,3.5,4.2
3.32,3.25,4.33,4.39
3.33,3.33,4.5,4.0
3.45,3.35,3.58,4.88
3.47,3.43,5.0,5.0
3.47,3.55,5.0,5.0
3.56,3.58,5.0,5.0
3.6,3.66,4.25,4.41
3.68,3.75,4.25,5.0
3.74,3.85,4.25,5.0
3.75,3.71,4.25,4.68
3.8,3.93,5.0,5.0
3.83,3.83,4.58,5.0
3.93,4.0,5.0,5.0
2.25,2.25,3.27,4.82
2.5,2.5,4.67,4.56
3.0,3.17,3.83,3.0
3.09,3.09,4.42,3.94
3.17,3.17,4.5,4.28
3.5,2.17,3.08,3.33
3.5,3.83,4.53,3.91
3.5,3.5,4.5,4.34
3.6,3.56,4.0,4.0
3.67,3.5,2.85,3.64
3.78,3.88,4.0,4.33
3.8,3.83,3.17,3.17
4.0,4.0,4.42,4.72
3.69,3.69,5.0,5.0
3.79,3.9,3.58,4.86
2.85,3.15,3.5,4.0
3.31,3.31,5.0,4.94
3.56,3.56,5.0,4.68
3.68,3.68,4.25,3.72
3.88,3.88,5.0,4.89
3.94,3.94,5.0,4.78
3.1,3.25,3.5,4.0
3.67,3.5,4.5,4.0
3.56,3.56,4.56,3.67
3.75,3.61,4.23,4.5
3.86,4.0,3.83,5.0
